"GEO_ID","NAME","H011I001","H011I002","H011I003","H011I004"
"id","Geographic Area Name","Population in occupied housing units","Population in occupied housing units!!Owned with a mortgage or a loan","Population in occupied housing units!!Owned free and clear","Population in occupied housing units!!Renter occupied"
"8710000US3610566","ZCTA5 10566, New York","8681","4702","1513","2466"
"8710000US3610567","ZCTA5 10567, New York","14754","11279","2612","863"
"8710000US3610570","ZCTA5 10570, New York","9962","6892","1956","1114"
"8710000US3610573","ZCTA5 10573, New York","16694","9433","3771","3490"
"8710000US3610576","ZCTA5 10576, New York","4751","3504","913","334"
"8710000US3610577","ZCTA5 10577, New York","2143","1339","692","112"
"8710000US3610578","ZCTA5 10578, New York","604","457","113","34"
"8710000US3610579","ZCTA5 10579, New York","7690","5727","1340","623"
"8710000US3610580","ZCTA5 10580, New York","14881","9100","3350","2431"
"8710000US3610583","ZCTA5 10583, New York","30959","20634","7688","2637"
"8710000US3610588","ZCTA5 10588, New York","1861","1250","295","316"
"8710000US3610589","ZCTA5 10589, New York","7421","4439","2472","510"
"8710000US3610590","ZCTA5 10590, New York","6176","4753","1041","382"
"8710000US3610591","ZCTA5 10591, New York","11816","6093","2184","3539"
"8710000US3610594","ZCTA5 10594, New York","4194","2825","991","378"
"8710000US3610595","ZCTA5 10595, New York","5295","3223","1145","927"
"8710000US3610596","ZCTA5 10596, New York","1442","731","259","452"
"8710000US3610597","ZCTA5 10597, New York","927","649","227","51"
"8710000US3610598","ZCTA5 10598, New York","24562","18081","4738","1743"
"8710000US3610601","ZCTA5 10601, New York","4600","1494","574","2532"
"8710000US3610603","ZCTA5 10603, New York","7320","4173","1421","1726"
"8710000US3610604","ZCTA5 10604, New York","7302","3940","1544","1818"
"8710000US3610605","ZCTA5 10605, New York","12549","8233","3012","1304"
"8710000US3610606","ZCTA5 10606, New York","5378","2590","1024","1764"
"8710000US3610607","ZCTA5 10607, New York","2412","1661","575","176"
"8710000US3610701","ZCTA5 10701, New York","15941","6051","3365","6525"
"8710000US3610703","ZCTA5 10703, New York","8625","3662","2071","2892"
"8710000US3610704","ZCTA5 10704, New York","20046","8161","4222","7663"
"8710000US3610705","ZCTA5 10705, New York","9406","3377","1956","4073"
"8710000US3610706","ZCTA5 10706, New York","6841","4001","1498","1342"
"8710000US3610707","ZCTA5 10707, New York","7553","4160","1489","1904"
"8710000US3610708","ZCTA5 10708, New York","16392","9370","4128","2894"
"8710000US3610709","ZCTA5 10709, New York","7884","4982","1774","1128"
"8710000US3610710","ZCTA5 10710, New York","14037","7717","3899","2421"
"8710000US3610801","ZCTA5 10801, New York","12704","5491","2315","4898"
"8710000US3610803","ZCTA5 10803, New York","9794","6649","1959","1186"
"8710000US3610804","ZCTA5 10804, New York","11680","8349","2842","489"
"8710000US3610805","ZCTA5 10805, New York","8361","2685","1603","4073"
"8710000US3610901","ZCTA5 10901, New York","18170","12298","3425","2447"
"8710000US3610910","ZCTA5 10910, New York","16","0","0","16"
"8710000US3610911","ZCTA5 10911, New York","2","0","0","2"
"8710000US3610913","ZCTA5 10913, New York","4250","3080","973","197"
"8710000US3610914","ZCTA5 10914, New York","341","270","60","11"
"8710000US3610915","ZCTA5 10915, New York","101","26","38","37"
"8710000US3610916","ZCTA5 10916, New York","3848","2988","579","281"
"8710000US3610917","ZCTA5 10917, New York","1511","991","231","289"
"8710000US3610918","ZCTA5 10918, New York","8810","6310","1380","1120"
"8710000US3610919","ZCTA5 10919, New York","832","586","128","118"
"8710000US3610920","ZCTA5 10920, New York","6223","4389","1188","646"
"8710000US3610921","ZCTA5 10921, New York","3354","2304","629","421"
