,MODZCTA,Positive,Total,zcta_cum.perc_pos,Zip,City,State,Latitude,Longitude,geopoint,0,id,Geographic Area Name,Total_HOUSEHOLD SIZE,1-person household,2-person household,3-person household,4-person household,5-person household,6-person household,7-or-more-person household
39,10280.0,30,87,34.48,10280,New York,NY,40.707467,-74.0178,"40.707467,-74.0178",1472,8710000US3610280,"ZCTA5 10280, New York",4053,41.65,35.36,13.42,7.45,1.65,0.37,0.1
40,10282.0,50,99,50.51,10282,New York,NY,40.717178999999994,-74.01433,"40.717179,-74.01433",847,8710000US3610282,"ZCTA5 10282, New York",2215,34.99,32.51,16.98,13.0,2.26,0.18,0.09
41,10301.0,660,1224,53.92,10301,Staten Island,NY,40.631775,-74.09432,"40.631775,-74.09432",1273,8710000US3610301,"ZCTA5 10301, New York",14719,33.64,27.67,15.02,12.03,6.16,2.83,2.64
42,10302.0,353,662,53.32,10302,Staten Island,NY,40.631127,-74.13715,"40.631127,-74.13715",1412,8710000US3610302,"ZCTA5 10302, New York",6002,23.28,22.69,16.34,16.03,10.21,5.15,6.3
43,10303.0,527,942,55.94,10303,Staten Island,NY,40.629448,-74.16239,"40.629448,-74.16239",985,8710000US3610303,"ZCTA5 10303, New York",8239,19.74,22.68,19.76,16.39,10.79,5.49,5.16
44,10304.0,834,1623,51.39,10304,Staten Island,NY,40.60787,-74.08991,"40.60787,-74.08991",1466,8710000US3610304,"ZCTA5 10304, New York",14438,25.23,25.6,18.38,15.07,8.44,3.98,3.3
45,10305.0,746,1591,46.89,10305,Staten Island,NY,40.599021,-74.07503,"40.599021,-74.07503",1653,8710000US3610305,"ZCTA5 10305, New York",15145,25.98,27.21,17.96,16.24,7.63,2.96,2.03
46,10306.0,941,2098,44.85,10306,Staten Island,NY,40.569394,-74.11785,"40.569394,-74.11785",485,8710000US3610306,"ZCTA5 10306, New York",20856,25.13,28.9,17.83,16.95,7.48,2.43,1.27
47,10307.0,255,541,47.13,10307,Staten Island,NY,40.508274,-74.24387,"40.508274,-74.24387",1742,8710000US3610307,"ZCTA5 10307, New York",4925,22.86,25.18,17.4,19.78,10.03,3.39,1.36
48,10308.0,450,1055,42.65,10308,Staten Island,NY,40.551353000000006,-74.15098,"40.551353,-74.15098",71,8710000US3610308,"ZCTA5 10308, New York",10142,22.71,29.76,18.1,18.69,7.63,2.17,0.94
49,10309.0,594,1345,44.16,10309,Staten Island,NY,40.529749,-74.21304,"40.529749,-74.21304",1128,8710000US3610309,"ZCTA5 10309, New York",10962,21.04,25.98,18.34,21.05,9.18,3.13,1.3
50,10310.0,413,876,47.15,10310,Staten Island,NY,40.63212,-74.11551,"40.63212,-74.11551",1787,8710000US3610310,"ZCTA5 10310, New York",8361,23.45,24.61,17.44,16.76,9.86,3.9,3.98
51,10312.0,1065,2225,47.87,10312,Staten Island,NY,40.543116999999995,-74.17628,"40.543117,-74.17628",937,8710000US3610312,"ZCTA5 10312, New York",21018,20.36,28.36,19.24,19.26,8.78,2.84,1.17
52,10314.0,1679,3460,48.53,10314,Staten Island,NY,40.606336999999996,-74.14513000000001,"40.606337,-74.14513",565,8710000US3610314,"ZCTA5 10314, New York",30709,23.57,29.35,18.12,16.13,7.88,2.92,2.04
53,10451.0,855,1411,60.6,10451,Bronx,NY,40.819728999999995,-73.9223,"40.819729,-73.9223",1678,8710000US3610451,"ZCTA5 10451, New York",17106,32.46,23.89,16.85,12.55,7.3,3.64,3.32
54,10452.0,1156,1770,65.31,10452,Bronx,NY,40.838745,-73.92234,"40.838745,-73.92234",1295,8710000US3610452,"ZCTA5 10452, New York",24796,23.91,22.02,19.62,15.99,9.69,4.5,4.27
55,10453.0,1234,1972,62.58,10453,Bronx,NY,40.853017,-73.91214000000001,"40.853017,-73.91214",1335,8710000US3610453,"ZCTA5 10453, New York",25307,23.23,22.29,19.82,15.92,9.67,4.73,4.34
56,10454.0,583,925,63.03,10454,Bronx,NY,40.805968,-73.91628,"40.805968,-73.91628",918,8710000US3610454,"ZCTA5 10454, New York",11978,26.14,21.68,18.08,13.68,9.48,5.23,5.7
