,MODZCTA,Positive,Total,zcta_cum.perc_pos,Zip,City,State,Latitude,Longitude,geopoint,0,id,Geographic Area Name,Total_TOTAL POPULATION
135,11367.0,903,2129,42.41,11367,Flushing,NY,40.728614,-73.82145,"40.728614,-73.82145",664,8710000US3611367,"ZCTA5 11367, New York",41047
136,11368.0,3774,6304,59.87,11368,Corona,NY,40.747106,-73.85838000000001,"40.747106,-73.85838",1096,8710000US3611368,"ZCTA5 11368, New York",109931
137,11369.0,1376,2486,55.35,11369,East Elmhurst,NY,40.762854,-73.87051,"40.762854,-73.87051",1066,8710000US3611369,"ZCTA5 11369, New York",38615
138,11370.0,1225,2409,50.85,11370,East Elmhurst,NY,40.763015,-73.89052,"40.763015,-73.89052",650,8710000US3611370,"ZCTA5 11370, New York",39688
139,11372.0,2179,3912,55.7,11372,Jackson Heights,NY,40.750146,-73.88433,"40.750146,-73.88433",1415,8710000US3611372,"ZCTA5 11372, New York",66636
140,11373.0,2836,5328,53.23,11373,Elmhurst,NY,40.736076000000004,-73.87804,"40.736076,-73.87804",534,8710000US3611373,"ZCTA5 11373, New York",100820
141,11374.0,945,2241,42.17,11374,Rego Park,NY,40.724945,-73.8609,"40.724945,-73.8609",1690,8710000US3611374,"ZCTA5 11374, New York",43600
142,11375.0,1379,3265,42.24,11375,Forest Hills,NY,40.720535,-73.84581999999999,"40.720535,-73.84582",29,8710000US3611375,"ZCTA5 11375, New York",68733
143,11377.0,1867,3959,47.16,11377,Woodside,NY,40.742869,-73.90377,"40.742869,-73.90377",1062,8710000US3611377,"ZCTA5 11377, New York",89830
144,11378.0,651,1512,43.06,11378,Maspeth,NY,40.724096,-73.90271,"40.724096,-73.90271",1351,8710000US3611378,"ZCTA5 11378, New York",34981
145,11379.0,709,1679,42.23,11379,Middle Village,NY,40.716028,-73.87925,"40.716028,-73.87925",691,8710000US3611379,"ZCTA5 11379, New York",34821
146,11385.0,1849,4004,46.18,11385,Ridgewood,NY,40.703069,-73.89285,"40.703069,-73.89285",1106,8710000US3611385,"ZCTA5 11385, New York",98592
147,11411.0,612,1215,50.37,11411,Cambria Heights,NY,40.693538000000004,-73.73574,"40.693538,-73.73574",1594,8710000US3611411,"ZCTA5 11411, New York",18556
148,11412.0,1134,2249,50.42,11412,Saint Albans,NY,40.697188,-73.75948000000001,"40.697188,-73.75948",671,8710000US3611412,"ZCTA5 11412, New York",34882
149,11413.0,1168,2402,48.63,11413,Springfield Gardens,NY,40.670138,-73.75140999999999,"40.670138,-73.75141",456,8710000US3611413,"ZCTA5 11413, New York",38912
150,11414.0,732,1521,48.13,11414,Howard Beach,NY,40.658188,-73.84321,"40.658188,-73.84321",692,8710000US3611414,"ZCTA5 11414, New York",26148
151,11415.0,460,1029,44.7,11415,Kew Gardens,NY,40.706903000000004,-73.82973,"40.706903,-73.82973",838,8710000US3611415,"ZCTA5 11415, New York",19341
152,11416.0,608,1185,51.31,11416,Ozone Park,NY,40.683301,-73.8503,"40.683301,-73.8503",516,8710000US3611416,"ZCTA5 11416, New York",24861
153,11417.0,779,1602,48.63,11417,Ozone Park,NY,40.675534000000006,-73.84476,"40.675534,-73.84476",551,8710000US3611417,"ZCTA5 11417, New York",28967
154,11418.0,932,2010,46.37,11418,Richmond Hill,NY,40.698485,-73.83365,"40.698485,-73.83365",921,8710000US3611418,"ZCTA5 11418, New York",36256
155,11419.0,1014,2070,48.99,11419,South Richmond Hill,NY,40.688688,-73.82216,"40.688688,-73.82216",851,8710000US3611419,"ZCTA5 11419, New York",47211
156,11420.0,1196,2500,47.84,11420,South Ozone Park,NY,40.673138,-73.81443,"40.673138,-73.81443",1654,8710000US3611420,"ZCTA5 11420, New York",44354
157,11421.0,1037,2123,48.85,11421,Woodhaven,NY,40.690870000000004,-73.85828000000001,"40.69087,-73.85828",759,8710000US3611421,"ZCTA5 11421, New York",39127
158,11422.0,869,1849,47.0,11422,Rosedale,NY,40.662538,-73.73514,"40.662538,-73.73514",1020,8710000US3611422,"ZCTA5 11422, New York",30425
159,11423.0,894,1781,50.2,11423,Hollis,NY,40.714261,-73.76824,"40.714261,-73.76824",1494,8710000US3611423,"ZCTA5 11423, New York",29987
160,11426.0,455,987,46.1,11426,Bellerose,NY,40.732239,-73.72108,"40.732239,-73.72108",1269,8710000US3611426,"ZCTA5 11426, New York",17590
161,11427.0,690,1415,48.76,11427,Queens Village,NY,40.728235,-73.74781999999999,"40.728235,-73.74782",1308,8710000US3611427,"ZCTA5 11427, New York",23593
162,11428.0,606,1145,52.93,11428,Queens Village,NY,40.719981,-73.74127,"40.719981,-73.74127",798,8710000US3611428,"ZCTA5 11428, New York",19168
163,11429.0,838,1558,53.79,11429,Queens Village,NY,40.708833,-73.73903,"40.708833,-73.73903",1513,8710000US3611429,"ZCTA5 11429, New York",25105
164,11432.0,1533,3034,50.53,11432,Jamaica,NY,40.714144,-73.79324,"40.714144,-73.79324",255,8710000US3611432,"ZCTA5 11432, New York",60809
165,11433.0,826,1729,47.77,11433,Jamaica,NY,40.696538000000004,-73.78734,"40.696538,-73.78734",854,8710000US3611433,"ZCTA5 11433, New York",32687
166,11434.0,1739,3573,48.67,11434,Jamaica,NY,40.674888,-73.7727,"40.674888,-73.7727",1281,8710000US3611434,"ZCTA5 11434, New York",59129
167,11435.0,1404,2984,47.05,11435,Jamaica,NY,40.700068,-73.80986,"40.700068,-73.80986",640,8710000US3611435,"ZCTA5 11435, New York",53687
168,11436.0,464,1000,46.4,11436,Jamaica,NY,40.674146,-73.79687,"40.674146,-73.79687",1724,8710000US3611436,"ZCTA5 11436, New York",17949
169,11691.0,1950,3715,52.49,11691,Far Rockaway,NY,40.60002,-73.75962,"40.60002,-73.75962",1164,8710000US3611691,"ZCTA5 11691, New York",60035
